Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(2057820k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-18T10:11:23.793-0800: 0.632: [GC (Allocation Failure) 2021-01-18T10:11:23.794-0800: 0.632: [DefNew: 1118528K->139776K(1258304K), 0.1366494 secs] 1118528K->241397K(4054528K), 0.1367640 secs] [Times: user=0.08 sys=0.06, real=0.14 secs] 
2021-01-18T10:11:24.088-0800: 0.926: [GC (Allocation Failure) 2021-01-18T10:11:24.088-0800: 0.926: [DefNew: 1258304K->139775K(1258304K), 0.1632882 secs] 1359925K->391086K(4054528K), 0.1633768 secs] [Times: user=0.08 sys=0.08, real=0.17 secs] 
2021-01-18T10:11:24.381-0800: 1.220: [GC (Allocation Failure) 2021-01-18T10:11:24.381-0800: 1.220: [DefNew: 1258303K->139775K(1258304K), 0.1079008 secs] 1509614K->546773K(4054528K), 0.1079963 secs] [Times: user=0.07 sys=0.04, real=0.10 secs] 
2021-01-18T10:11:24.617-0800: 1.456: [GC (Allocation Failure) 2021-01-18T10:11:24.618-0800: 1.456: [DefNew: 1258303K->139775K(1258304K), 0.1089077 secs] 1665301K->704562K(4054528K), 0.1090014 secs] [Times: user=0.07 sys=0.04, real=0.11 secs] 
2021-01-18T10:11:24.852-0800: 1.691: [GC (Allocation Failure) 2021-01-18T10:11:24.852-0800: 1.691: [DefNew: 1258303K->139775K(1258304K), 0.1420645 secs] 1823090K->861585K(4054528K), 0.1425423 secs] [Times: user=0.07 sys=0.04, real=0.14 secs] 
2021-01-18T10:11:25.122-0800: 1.961: [GC (Allocation Failure) 2021-01-18T10:11:25.122-0800: 1.961: [DefNew: 1258303K->139776K(1258304K), 0.1715588 secs] 1980113K->1001477K(4054528K), 0.1717299 secs] [Times: user=0.06 sys=0.04, real=0.17 secs] 
2021-01-18T10:11:25.431-0800: 2.269: [GC (Allocation Failure) 2021-01-18T10:11:25.431-0800: 2.269: [DefNew: 1258304K->139775K(1258304K), 0.1027073 secs] 2120005K->1149144K(4054528K), 0.1028150 secs] [Times: user=0.07 sys=0.04, real=0.10 secs] 
2021-01-18T10:11:25.675-0800: 2.513: [GC (Allocation Failure) 2021-01-18T10:11:25.675-0800: 2.514: [DefNew: 1258303K->139775K(1258304K), 0.0962607 secs] 2267672K->1292619K(4054528K), 0.0963551 secs] [Times: user=0.06 sys=0.03, real=0.10 secs] 
2021-01-18T10:11:25.892-0800: 2.730: [GC (Allocation Failure) 2021-01-18T10:11:25.892-0800: 2.730: [DefNew: 1258303K->139775K(1258304K), 0.1035675 secs] 2411147K->1450851K(4054528K), 0.1043404 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-18T10:11:26.123-0800: 2.962: [GC (Allocation Failure) 2021-01-18T10:11:26.123-0800: 2.962: [DefNew: 1258303K->139775K(1258304K), 0.1156521 secs] 2569379K->1607056K(4054528K), 0.1157455 secs] [Times: user=0.07 sys=0.05, real=0.11 secs] 
2021-01-18T10:11:26.359-0800: 3.197: [GC (Allocation Failure) 2021-01-18T10:11:26.359-0800: 3.197: [DefNew: 1258303K->139775K(1258304K), 0.1780079 secs] 2725584K->1786998K(4054528K), 0.1781310 secs] [Times: user=0.08 sys=0.05, real=0.18 secs] 
2021-01-18T10:11:26.677-0800: 3.516: [GC (Allocation Failure) 2021-01-18T10:11:26.677-0800: 3.516: [DefNew: 1258303K->139775K(1258304K), 0.1165432 secs] 2905526K->1934041K(4054528K), 0.1166433 secs] [Times: user=0.07 sys=0.04, real=0.12 secs] 
2021-01-18T10:11:26.914-0800: 3.752: [GC (Allocation Failure) 2021-01-18T10:11:26.914-0800: 3.752: [DefNew: 1258303K->139775K(1258304K), 0.1511871 secs] 3052569K->2102699K(4054528K), 0.1512906 secs] [Times: user=0.08 sys=0.07, real=0.15 secs] 
2021-01-18T10:11:27.189-0800: 4.027: [GC (Allocation Failure) 2021-01-18T10:11:27.189-0800: 4.027: [DefNew: 1258303K->139776K(1258304K), 0.1318618 secs] 3221227K->2249052K(4054528K), 0.1319794 secs] [Times: user=0.07 sys=0.05, real=0.14 secs] 
2021-01-18T10:11:27.444-0800: 4.282: [GC (Allocation Failure) 2021-01-18T10:11:27.444-0800: 4.282: [DefNew: 1258304K->139775K(1258304K), 0.1568558 secs] 3367580K->2419568K(4054528K), 0.1569564 secs] [Times: user=0.08 sys=0.07, real=0.16 secs] 
